00000001,系统菜单树根节点,root,true,null,
00000002,系统设定,area,false,null,00000001
00000003,人事管理,area,false,null,00000001
00000004,菜单树设定,node,false,/security/menu/menuSetting/001/showPageAction,00000002
00000005,角色相关,folder,false,null,00000002
00000006,角色设定,node,false,/security/role/roleSetting/001/showPageAction,00000005
00000007,角色&菜单树关联设定,node,false,/security/role/roleMenuSetting/001/showPageAction,00000005
00000008,数据字典,folder,false,null,00000002
00000009,公共相关,folder,false,null,00000008
00000010,组织相关,folder,false,null,00000008
00000011,国家,node,false,/dictionary/common/countrySetting/001/showPageAction,00000009
00000012,组织类型,node,false,null,00000010
